adv_id,date_created,user_id_seller,product_id,title,description,sell_price,can_bid
1,2023-10-09 21:03:51,61,33,Dijual murah Honda Jazz 2018,Minat hubungi (0572) 007-6406,238000000,True
2,2023-07-11 02:15:13,57,13,Dijual murah Toyota Calya 2017,Minat hubungi 0823275525,104000000,True
3,2023-06-16 15:53:57,15,1,Dijual murah Toyota Yaris 2016,Minat hubungi +62-0914-021-1826,234000000,True
4,2023-08-20 07:08:54,34,2,Dijual murah Toyota Yaris 2018,Minat hubungi +62 (252) 901 7638,224000000,True
5,2023-06-25 19:23:18,48,26,Dijual murah Daihatsu Xenia 2019,Minat hubungi +62 (60) 035-1949,180000000,True
6,2023-09-12 19:42:09,96,40,Dijual murah Honda CR-V 2018,Minat hubungi 0880386550,166000000,True
7,2023-12-29 03:57:10,41,15,Dijual murah Toyota Calya 2016,Minat hubungi +62-089-173-9354,114000000,True
8,2023-08-24 23:52:05,66,11,Dijual murah Toyota Calya 2019,Minat hubungi +62 (490) 788 0659,114000000,True
9,2023-07-10 06:36:29,53,6,Dijual murah Toyota Agya 2019,Minat hubungi +62 (061) 636 8857,107000000,False
10,2023-11-18 22:54:55,81,15,Dijual murah Toyota Calya 2016,Minat hubungi 084 410 2690,134000000,True
11,2023-10-21 13:33:11,52,46,Dijual murah Suzuki Ertiga 2015,Minat hubungi +62-57-976-3293,150000000,True
12,2023-06-27 21:21:31,50,40,Dijual murah Honda CR-V 2018,Minat hubungi +62 (96) 811-6097,326000000,True
13,2023-11-04 12:50:14,49,25,Dijual murah Daihatsu Terios 2018,Minat hubungi +62-034-185-3846,206000000,False
14,2023-06-11 20:17:42,87,30,Dijual murah Daihatsu Xenia 2018,Minat hubungi (052) 147 8944,210000000,True
15,2023-07-15 17:49:05,67,45,Dijual murah Honda Civic 2019,Minat hubungi +62 (098) 177 6743,256000000,True
16,2023-10-24 21:40:23,22,6,Dijual murah Toyota Agya 2019,Minat hubungi +62 (0621) 341-5716,127000000,True
17,2023-08-10 23:40:14,57,37,Dijual murah Honda CR-V 2017,Minat hubungi 0823275525,136000000,True
18,2023-07-29 16:38:31,5,4,Dijual murah Toyota Yaris 2020,Minat hubungi +62 (68) 455 0788,204000000,True
19,2023-12-25 01:36:29,11,16,Dijual murah Daihatsu Ayla 2016,Minat hubungi (025) 249 3491,83000000,True
20,2023-08-06 06:19:19,46,23,Dijual murah Daihatsu Terios 2019,Minat hubungi (0219) 994-7824,196000000,True
21,2023-11-30 20:09:23,78,46,Dijual murah Suzuki Ertiga 2015,Minat hubungi +62 (004) 989-2448,160000000,True
22,2023-10-01 18:46:24,57,48,Dijual murah Suzuki Ertiga 2016,Minat hubungi 0823275525,140000000,True
23,2023-12-01 11:01:46,16,13,Dijual murah Toyota Calya 2017,Minat hubungi 081 745 5348,114000000,True
24,2023-12-27 18:04:50,15,45,Dijual murah Honda Civic 2019,Minat hubungi +62-0914-021-1826,226000000,True
25,2023-07-03 22:02:43,24,18,Dijual murah Daihatsu Ayla 2015,Minat hubungi +62 (481) 110-8908,103000000,True
26,2023-08-10 03:52:09,29,34,Dijual murah Honda Jazz 2015,Minat hubungi 0851800132,208000000,True
