user_id,first_name,last_name,phone,username,email,city_id,password,joined_date
1,Wardi,Dongoran,+62 (0099) 621 4650,WardiDongoran_2477,wardi_dongoran4972@yahoo.com,6472,7(7SFiiG4+,2023-06-05 06:03:48
2,Putri,Winarsih,(0105) 001 5479,PutriWinarsih_5928,putri_winarsih2611@gmail.com,6472,%GPjq$jw+5,2023-08-22 23:58:15
3,Ibrahim,Padmasari,+62 (38) 956-4132,IbrahimPadmasari_8580,ibrahim_padmasari7549@gmail.com,3171,^n0Lyw3x2_,2023-08-14 11:46:43
4,Yusuf,Purwanti,+62 (566) 558 9705,YusufPurwanti_8327,yusuf_purwanti3244@yahoo.com,3173,LcDHC$y!*1,2023-09-24 22:13:17
5,Lanjar,Situmorang,+62 (68) 455 0788,LanjarSitumorang_4947,lanjar_situmorang6593@hotmail.com,6472,&fiPOiKXF3,2023-11-24 04:58:02
6,Emil,Namaga,+62-032-047-7670,EmilNamaga_1456,emil_namaga2206@hotmail.com,1375,^62neRem%b,2023-08-30 01:37:18
7,Joko,Ramadan,(0330) 549 4608,JokoRamadan_1240,joko_ramadan8953@hotmail.com,3174,4s8K9uJu$w,2023-07-16 20:25:59
8,Utama,Hartati,(0541) 016 2281,UtamaHartati_5072,utama_hartati3035@gmail.com,3172,^D8uLskghn,2023-09-18 10:57:11
9,Prakosa,Sirait,0823567227,PrakosaSirait_4986,prakosa_sirait9228@hotmail.com,7371,)z^(SZzU$6,2023-10-31 20:12:37
10,Jaeman,Natsir,+62 (0599) 099 8839,JaemanNatsir_333,jaeman_natsir4983@hotmail.com,1371,96cV%Bez_f,2023-09-19 16:49:42
11,Cemplunk,Susanti,(025) 249 3491,CemplunkSusanti_6777,cemplunk_susanti1079@yahoo.com,3273,+Ca4)Na7*x,2023-10-13 04:14:35
12,Queen,Kuswoyo,+62 (003) 353 5433,QueenKuswoyo_1152,queen_kuswoyo5059@gmail.com,7371,4HnYwb(s%7,2023-10-02 06:13:25
13,Kambali,Permata,(0399) 326-2076,KambaliPermata_4433,kambali_permata3896@gmail.com,6472,o51VWVF8+w,2023-11-17 13:33:45
